_id,id,__v,action_cause,behavior_type,company_type,craft_code,createdAt,day_of_year,gbu,incident_date,incident_number,is_lcv,job,lastUpdated,location,month,near_miss_sub_category,primary_category,region,severity_level,unsafe_condition_or_behavior,violation_probability_level,violation_risk_severity_level,violation_severity_level,week,year
{'$oid': '69087efc012e93c9d6fdeb4e'},135885384,0,Dropped Object(s),,B,,1759914584881,201,Energy,1721361230000,135885384,False,Project A,1762164474707,Area 42,7,Injury/Illness,,Asia (North Asia),0,,0,0,0,29,2024
{'$oid': '69087efc012e93c9d6fdeb4f'},135768696,0,"Struck By/ Against (includes foreign bodies to eye,cutting)",,N,,1759914584881,25,Energy,1706200129000,135768696,False,Project E,1762164474707,Tank 107,1,Injury/Illness,,Asia Pacific (Southeast Asia),0,,0,0,0,4,2024
{'$oid': '69087efc012e93c9d6fdeb50'},135770445,0,Caught In/ Between,,N,,1759914584881,26,Energy,1706246689000,135770445,False,Project E,1762164474707,Tank 107,1,Property Damage,,Asia Pacific (Southeast Asia),0,,0,0,0,4,2024
{'$oid': '69087efc012e93c9d6fdeb51'},135769486,0,"Contact With (chemicals, hazardous substance, insect, animals, heat, cold)",,N,Plant Operation Employees,1759914584881,29,Energy,1706472530000,135769486,False,Project E,1762164474707,Tank 107,1,,,Asia Pacific (Southeast Asia),0,,0,0,0,5,2024
{'$oid': '69087efc012e93c9d6fdeb52'},135781316,0,Slip/Trip,,N,Carpenter,1759914584881,45,Energy,1707881930000,135781316,False,Project E,1762164474707,Tank 107,2,,,Asia Pacific (Southeast Asia),0,,0,0,0,7,2024
{'$oid': '69087efc012e93c9d6fdeb53'},135793012,0,Explosion/ Fire,,N,,1759914584881,65,Energy,1709612929000,135793012,False,Project E,1762164474707,Tank 107,3,Property Damage,,Asia Pacific (Southeast Asia),0,,0,0,0,10,2024
{'$oid': '69087efc012e93c9d6fdeb54'},135806927,0,Other,,N,,1759914584881,66,Energy,1709693630000,135806927,False,Project E,1762164474707,Tank 107,3,Property Damage,,Asia Pacific (Southeast Asia),0,,0,0,0,10,2024
{'$oid': '69087efc012e93c9d6fdeb55'},135804134,0,"Strain/ Overexertion (lifting, climbing, pulling, pushing)",,N,Surveyors,1759914584881,92,Energy,1711916630000,135804134,False,Project E,1762164474707,Tank 107,4,,,Asia Pacific (Southeast Asia),0,,0,0,0,14,2024
{'$oid': '69087efc012e93c9d6fdeb56'},135807931,0,"Grinding, Sanding, Scraping, Cleaning, Blowing",,N,Millwrights/Machinist,1759914584881,96,Energy,1712287730000,135807931,False,Project E,1762164474707,Tank 107,4,,,Asia Pacific (Southeast Asia),0,,0,0,0,14,2024
{'$oid': '69087efc012e93c9d6fdeb57'},135809211,0,"Struck By/ Against (includes foreign bodies to eye,cutting)",,N,Laborers,1759914584881,97,Energy,1712372030000,135809211,False,Project E,1762164474707,Material Storage Assembly Area,4,,,Asia Pacific (Southeast Asia),0,,0,0,0,14,2024
{'$oid': '69087efc012e93c9d6fdeb58'},135813225,0,"Struck By/ Against (includes foreign bodies to eye,cutting)",,B,Other,1759914584881,103,Energy,1712939510000,135813225,False,Project E,1762164474707,Tank 107,4,Property Damage,,Asia Pacific (Southeast Asia),0,,0,0,0,15,2024
{'$oid': '69087efc012e93c9d6fdeb59'},135828250,0,Explosion/ Fire,,B,,1759914584881,125,Energy,1714798129000,135828250,False,Project E,1762164474707,Tank 107,5,,,Asia Pacific (Southeast Asia),0,,0,0,0,18,2024
{'$oid': '69087efc012e93c9d6fdeb5a'},135839665,0,Other,,B,Non-Manual,1759914584881,141,Energy,1716154670000,135839665,False,Project E,1762164474707,Site Office,5,,,Asia Pacific (Southeast Asia),0,,0,0,0,21,2024
{'$oid': '69087efc012e93c9d6fdeb5b'},135837344,0,"Vehicular Accident (driver, passenger, pedestrian)",,B,,1759914584881,137,Energy,1715852929000,135837344,False,Project E,1762164474707,Tank 107,5,Property Damage,,Asia Pacific (Southeast Asia),0,,0,0,0,20,2024
{'$oid': '69087efc012e93c9d6fdeb5c'},135873559,0,Dropped Object(s),,N,,1759914584881,178,Energy,1719395930000,135873559,False,Project E,1762164474707,Tank 107,6,Property Damage,,Asia Pacific (Southeast Asia),0,,0,0,0,26,2024
{'$oid': '69087efc012e93c9d6fdeb5d'},135869651,0,"Grinding, Sanding, Scraping, Cleaning, Blowing",,B,Welder,1759914584881,179,Energy,1719485930000,135869651,False,Project E,1762164474707,Walkway,6,,,Asia Pacific (Southeast Asia),0,,0,0,0,26,2024
{'$oid': '69087efc012e93c9d6fdeb5e'},135875400,0,"Grinding, Sanding, Scraping, Cleaning, Blowing",,N,Fitters (Other),1759914584881,178,Energy,1719373670000,135875400,False,Project E,1762164474707,Material Storage Assembly Area,6,,,Asia Pacific (Southeast Asia),0,,0,0,0,26,2024
{'$oid': '69087efc012e93c9d6fdeb5f'},135878302,0,Dropped Object(s),,N,,1759914584881,186,Energy,1720067930000,135878302,False,Project E,1762164474707,Material Storage Assembly Area,7,Property Damage,,Asia Pacific (Southeast Asia),0,,0,0,0,27,2024
{'$oid': '69087efc012e93c9d6fdeb60'},135884238,0,Dropped Object(s),,N,,1759914584881,200,Energy,1721297329000,135884238,False,Project E,1762164474707,Tank 108,7,Property Damage,,Asia Pacific (Southeast Asia),0,,0,0,0,29,2024
{'$oid': '69087efc012e93c9d6fdeb61'},135885151,0,"Grinding, Sanding, Scraping, Cleaning, Blowing",,N,Carpenter,1759914584881,200,Energy,1721276750000,135885151,False,Project E,1762164474707,Tank 108,7,,,Asia Pacific (Southeast Asia),0,,0,0,0,29,2024
{'$oid': '69087efc012e93c9d6fdeb62'},135893371,0,"Contact With (chemicals, hazardous substance, insect, animals, heat, cold)",,N,Other,1759914584881,213,Energy,1722402530000,135893371,False,Project E,1762164474707,Tank 107,7,,,Asia Pacific (Southeast Asia),0,,0,0,0,31,2024
{'$oid': '69087efc012e93c9d6fdeb63'},135900931,0,Other,,N,Rigger,1759914584881,219,Energy,1722919130000,135900931,False,Project E,1762164474707,Tank 107,8,Property Damage,,Asia Pacific (Southeast Asia),0,,0,0,0,32,2024
{'$oid': '69087efc012e93c9d6fdeb64'},135901919,0,Dropped Object(s),,N,,1759914584881,220,Energy,1723008709000,135901919,False,Project E,1762164474707,Tank 107,8,Property Damage,,Asia Pacific (Southeast Asia),0,,0,0,0,32,2024
{'$oid': '69087efc012e93c9d6fdeb65'},135913920,0,Dropped Object(s),,N,,1759914584881,236,Energy,1724381630000,135913920,False,Project E,1762164474707,Tank 108,8,Property Damage,,Asia Pacific (Southeast Asia),0,,0,0,0,34,2024
{'$oid': '69087efc012e93c9d6fdeb66'},135913102,0,Other,,N,Rigger,1759914584881,222,Energy,1723172329000,135913102,False,Project E,1762164474707,Tank 107,8,Property Damage,,Asia Pacific (Southeast Asia),0,,0,0,0,32,2024
{'$oid': '69087efc012e93c9d6fdeb67'},135911449,0,Dropped Object(s),,N,,1759914584881,232,Energy,1724060330000,135911449,False,Project E,1762164474707,Tank 107,8,Injury/Illness,,Asia Pacific (Southeast Asia),0,,0,0,0,34,2024
{'$oid': '69087efc012e93c9d6fdeb68'},135913090,0,"Grinding, Sanding, Scraping, Cleaning, Blowing",,N,Mechanic,1759914584881,235,Energy,1724302129000,135913090,False,Project E,1762164474707,Fabrication Area,8,,,Asia Pacific (Southeast Asia),0,,0,0,0,34,2024
{'$oid': '69087efc012e93c9d6fdeb69'},135916726,0,Slip/Trip,,N,Surveyors,1759914584881,240,Energy,1724713730000,135916726,False,Project E,1762164474707,Assembly Area,8,,,Asia Pacific (Southeast Asia),0,,0,0,0,35,2024
{'$oid': '69087efc012e93c9d6fdeb6a'},135918897,0,"Struck By/ Against (includes foreign bodies to eye,cutting)",,B,,1759914584881,242,Energy,1724882030000,135918897,False,Project E,1762164474707,Tank 107,8,Property Damage,,Asia Pacific (Southeast Asia),0,,0,0,0,35,2024
{'$oid': '69087efc012e93c9d6fdeb6b'},135811648,0,Dropped Object(s),,N,Laborers,1759914584881,101,Energy,1712723329000,135811648,False,Project E,1762164474707,Tank 107,4,,,Asia Pacific (Southeast Asia),0,,0,0,0,15,2024
{'$oid': '69087efc012e93c9d6fdeb6c'},135813218,0,Welding,,N,,1759914584881,103,Energy,1712943830000,135813218,False,Project E,1762164474707,Tank 107,4,Property Damage,,Asia Pacific (Southeast Asia),0,,0,0,0,15,2024
{'$oid': '69087efc012e93c9d6fdeb6d'},136037990,0,Dropped Object(s),,B,Rigger,1765966245779,19,Energy,1737317330000,136037990,False,Project E,1765966245779,,1,,,,0,,0,0,0,3,2025
{'$oid': '69087efc012e93c9d6fdeb6e'},136121604,0,Dropped Object(s),,N,,1765966245779,98,Energy,1744101470000,136121604,False,Project E,1765966245779,,4,,,,0,,0,0,0,14,2025
{'$oid': '69087efc012e93c9d6fdeb6f'},136198042,0,Welding,At-Risk,B,,1765966245779,179,Energy,1751083429000,136198042,False,Project E,1765966245779,,6,,,,0,Unsafe Condition,0,0,0,26,2025
{'$oid': '69087efc012e93c9d6fdeb70'},136205192,0,Other,Safe,B,Operators,1765966245779,183,Energy,1751439409000,136205192,False,Project B,1765966245779,,7,,,,0,Unsafe Condition,0,0,0,27,2025
{'$oid': '69087efc012e93c9d6fdeb71'},136108480,0,"Struck By/ Against (includes foreign bodies to eye,cutting)",,N,,1765966245779,90,Energy,1743400340000,136108480,False,Project E,1765966245779,,3,,,,0,,0,0,0,13,2025
{'$oid': '69087efc012e93c9d6fdeb72'},136113403,0,"Struck By/ Against (includes foreign bodies to eye,cutting)",,B,Fitters (Other),1765966245779,93,Energy,1743657229000,136113403,False,Project E,1765966245779,,4,,,,0,,0,0,0,14,2025
{'$oid': '69087efc012e93c9d6fdeb73'},136111839,0,Other,,B,,1765966245779,90,Energy,1743458330000,136111839,False,Project E,1765966245779,,3,,,,0,,0,0,0,13,2025
{'$oid': '69087efc012e93c9d6fdeb74'},136216748,0,"Struck By/ Against (includes foreign bodies to eye,cutting)",At-Risk,B,Operators,1765966245779,196,Energy,1752556130000,136216748,False,Project B,1765966245779,,7,,,,0,Unsafe Condition,0,0,0,28,2025
{'$oid': '69087efc012e93c9d6fdeb75'},136073757,0,"Contact With (chemicals, hazardous substance, insect, animals, heat, cold)",,B,Welder,1765966245779,55,Energy,1740436730000,136073757,False,Project E,1765966245779,,2,,,,0,,0,0,0,8,2025
{'$oid': '69087efc012e93c9d6fdeb76'},135795746,0,Other,Safe,B,Operators,1759914584881,73,Energy,1710293930000,135795746,False,Project C,1762164474707,OSBL,3,Injury/Illness,,U.S.A.,1,Unsafe Condition,0,1,0,11,2024
{'$oid': '69087efc012e93c9d6fdeb77'},135796362,0,Other,At-Risk,B,Rigger,1759914584881,75,Energy,1710469430000,135796362,True,Project C,1762164474707,OSBL,3,Property Damage,MEPI (Mobile Equipment & Personnel Interface),U.S.A.,2,Unsafe Condition,0,2,0,11,2024
{'$oid': '69087efc012e93c9d6fdeb78'},136135127,0,Dropped Object(s),,N,,1765966245779,114,Energy,1745469410000,136135127,False,Project E,1765966245779,,4,,,,0,,0,0,0,17,2025
{'$oid': '69087efc012e93c9d6fdeb79'},136150856,0,"Strain/ Overexertion (lifting, climbing, pulling, pushing)",,B,,1765966245779,127,Energy,1746596449000,136150856,False,Project E,1765966245779,,5,,,,0,,0,0,0,19,2025
{'$oid': '69087efc012e93c9d6fdeb7a'},135786509,0,"Struck By/ Against (includes foreign bodies to eye,cutting)",At-Risk,B,Pipefitters,1759914584881,58,Energy,1709032130000,135786509,False,Project C,1762164474707,OSBL,2,,,U.S.A.,2,Behavior,0,2,0,9,2024
{'$oid': '69087efc012e93c9d6fdeb7b'},136143920,0,"Strain/ Overexertion (lifting, climbing, pulling, pushing)",,B,,1765966245779,123,Energy,1746260989000,136143920,False,Project E,1765966245779,,5,,,,0,,0,0,0,18,2025
{'$oid': '69087efc012e93c9d6fdeb7c'},135830325,0,,Safe,B,Operators,1759914584881,127,Energy,1714986530000,135830325,False,Project C,1762164474707,Laydown,5,,,U.S.A.,2,Unsafe Condition,0,2,0,19,2024
{'$oid': '69087efc012e93c9d6fdeb7d'},135838645,0,Unknown,Safe,B,Rigger,1759914584881,140,Energy,1716089930000,135838645,False,Project C,1762164474707,Train 2,5,,,U.S.A.,1,Behavior,0,1,0,20,2024
{'$oid': '69087efc012e93c9d6fdeb7e'},135858730,0,Unknown,Safe,B,Ironworkers-Structural,1759914584881,165,Energy,1718265830000,135858730,False,Project C,1762164474707,OSBL,6,Injury/Illness,,U.S.A.,1,Unsafe Condition,0,1,0,24,2024
{'$oid': '69087efc012e93c9d6fdeb7f'},135864468,0,Other,Safe,B,Welder,1759914584881,173,Energy,1718939630000,135864468,False,Project C,1762164474707,OSBL,6,,,U.S.A.,1,Behavior,0,1,0,25,2024
{'$oid': '69087efc012e93c9d6fdeb80'},135867005,0,,Safe,B,Operators,1759914584881,177,Energy,1719296030000,135867005,False,Project C,1762164474707,OSBL,6,,,U.S.A.,2,Unsafe Condition,0,2,0,26,2024
{'$oid': '69087efc012e93c9d6fdeb81'},135876123,0,,Safe,B,Operators,1759914584881,188,Energy,1720242530000,135876123,False,Project C,1762164474707,OSBL,7,,,U.S.A.,2,Unsafe Condition,0,2,0,27,2024
{'$oid': '69087efc012e93c9d6fdeb82'},135885578,0,"Vehicular Accident (driver, passenger, pedestrian)",At-Risk,B,Rigger,1759914584881,201,Energy,1721372968000,135885578,True,Project C,1762164474707,OSBL,7,,MEPI (Mobile Equipment & Personnel Interface),U.S.A.,2,Unsafe Condition,0,2,0,29,2024
{'$oid': '69087efc012e93c9d6fdeb83'},135886281,0,Dropped Object(s),At-Risk,B,,1759914584881,201,Energy,1721383130000,135886281,True,Project C,1762164474707,Train 2,7,Injury/Illness,Dropped Objects,U.S.A.,3,Unsafe Condition,0,3,0,29,2024
{'$oid': '69087efc012e93c9d6fdeb84'},136041518,0,Unknown,Safe,B,Operators,1765966245779,23,Energy,1737601730000,136041518,False,Project C,1765966245779,,1,,,,0,Unsafe Condition,0,0,0,4,2025
{'$oid': '69087efc012e93c9d6fdeb85'},136059181,0,Other,,B,Electricians-Other,1765966245779,41,Energy,1739173130000,136059181,False,Project C,1765966245779,,2,,,,0,,0,0,0,6,2025
{'$oid': '69087efc012e93c9d6fdeb86'},136081002,0,"Contact With (chemicals, hazardous substance, insect, animals, heat, cold)",,B,Electricians-Other,1765966245779,63,Energy,1741060462000,136081002,False,Project C,1765966245779,,3,,,,0,,0,0,0,9,2025
{'$oid': '69087efc012e93c9d6fdeb87'},136095030,0,"Strain/ Overexertion (lifting, climbing, pulling, pushing)",,B,Electricians-wiremen,1765966245779,76,Energy,1742200729000,136095030,False,Project C,1765966245779,,3,,,,0,,0,0,0,11,2025
{'$oid': '69087efc012e93c9d6fdeb88'},136104572,0,Line Of Fire,,B,Electricians-Other,1765966245779,85,Energy,1742965730000,136104572,False,Project C,1765966245779,,3,,,,0,,0,0,0,13,2025
{'$oid': '69087efc012e93c9d6fdeb89'},135755063,0,Caught In/ Between,,B,Pipefitters,1759914584881,2,Energy,1704166754000,135755063,False,Project D,1762164474707,Train 1,1,,,U.S.A.,0,,0,0,0,1,2024
{'$oid': '69087efc012e93c9d6fdeb8a'},135756217,0,Other,,B,Operators,1759914584881,3,Energy,1704254929000,135756217,False,Project D,1762164474707,Laydowns,1,Property Damage,,U.S.A.,0,,0,0,0,1,2024
{'$oid': '69087efc012e93c9d6fdeb8b'},135756574,0,"Struck By/ Against (includes foreign bodies to eye,cutting)",,B,,1759914584881,3,Energy,1704263029000,135756574,False,Project D,1762164474707,200' Strip,1,Injury/Illness,,U.S.A.,0,,0,0,0,1,2024
{'$oid': '69087efc012e93c9d6fdeb8c'},135756598,0,Slip/Trip,,B,Carpenter,1759914584881,3,Energy,1704270530000,135756598,False,Project D,1762164474707,Train 3,1,,,U.S.A.,0,,0,0,0,1,2024
{'$oid': '69087efc012e93c9d6fdeb8d'},135756587,0,Slip/Trip,,B,Scaffold Builder,1759914584881,3,Energy,1704271134000,135756587,False,Project D,1762164474707,OSBL West,1,Injury/Illness,,U.S.A.,0,,0,0,0,1,2024
{'$oid': '69087efc012e93c9d6fdeb8e'},135756705,0,Other,,B,,1759914584881,3,Energy,1704268429000,135756705,False,Project D,1762164474707,Train 2,1,Environmental,,U.S.A.,0,,0,0,0,1,2024
{'$oid': '69087efc012e93c9d6fdeb8f'},135757229,0,Other,,B,Operators,1759914584881,4,Energy,1704333274000,135757229,False,Project D,1762164474707,Laydowns,1,,,U.S.A.,0,,0,0,0,1,2024
{'$oid': '69087efc012e93c9d6fdeb90'},135757635,0,,,N,,1759914584881,4,Energy,1704345830000,135757635,False,Project D,1762164474707,Train 3,1,,,U.S.A.,0,,0,0,0,1,2024
{'$oid': '69087efc012e93c9d6fdeb91'},135757688,0,"Grinding, Sanding, Scraping, Cleaning, Blowing",,B,Welder,1759914584881,4,Energy,1704362929000,135757688,False,Project D,1762164474707,OSBL East,1,,,U.S.A.,0,,0,0,0,1,2024
{'$oid': '69087efc012e93c9d6fdeb92'},135757695,0,"Struck By/ Against (includes foreign bodies to eye,cutting)",,B,Pipefitters,1759914584881,4,Energy,1704359388000,135757695,False,Project D,1762164474707,Train 1,1,Injury/Illness,,U.S.A.,0,,0,0,0,1,2024
{'$oid': '69087efc012e93c9d6fdeb93'},135758433,0,,,B,,1759914584881,5,Energy,1704432829000,135758433,False,Project D,1762164474707,Other,1,,,U.S.A.,0,,0,0,0,1,2024
{'$oid': '69087efc012e93c9d6fdeb94'},135758463,0,"Struck By/ Against (includes foreign bodies to eye,cutting)",,B,Pipefitters,1759914584881,5,Energy,1704451138000,135758463,False,Project D,1762164474707,Laydowns,1,Injury/Illness,,U.S.A.,0,,0,0,0,1,2024
{'$oid': '69087efc012e93c9d6fdeb95'},135758600,0,"Strain/ Overexertion (lifting, climbing, pulling, pushing)",,B,Ironworkers-Structural,1759914584881,5,Energy,1704478130000,135758600,False,Project D,1762164474707,Train 1,1,,,U.S.A.,0,,0,0,0,1,2024
{'$oid': '69087efc012e93c9d6fdeb96'},135758734,0,Line Of Fire,,B,Operators,1759914584881,6,Energy,1704541287000,135758734,False,Project D,1762164474707,OSBL West,1,,,U.S.A.,0,,0,0,0,1,2024
{'$oid': '69087efc012e93c9d6fdeb97'},135758730,0,Other,,B,Welder,1759914584881,6,Energy,1704530388000,135758730,False,Project D,1762164474707,Train 1,1,,,U.S.A.,0,,0,0,0,1,2024
{'$oid': '69087efc012e93c9d6fdeb98'},135759929,0,Caught In/ Between,,B,Mechanic,1759914584881,8,Energy,1704704930000,135759929,False,Project D,1762164474707,OSBL West,1,,,U.S.A.,0,,0,0,0,2,2024
{'$oid': '69087efc012e93c9d6fdeb99'},135760296,0,Dropped Object(s),,B,Cement masons,1759914584881,9,Energy,1704776950000,135760296,False,Project D,1762164474707,OSBL East,1,,,U.S.A.,0,,0,0,0,2,2024
{'$oid': '69087efc012e93c9d6fdeb9a'},135760479,0,"Contact With (chemicals, hazardous substance, insect, animals, heat, cold)",,N,Laborers,1759914584881,9,Energy,1704791330000,135760479,False,Project D,1762164474707,Train 4,1,,,U.S.A.,0,,0,0,0,2,2024
{'$oid': '69087efc012e93c9d6fdeb9b'},135760569,0,Other,,B,Ironworkers-Structural,1759914584881,9,Energy,1704821929000,135760569,False,Project D,1762164474707,Train 1,1,Environmental,,U.S.A.,0,,0,0,0,2,2024
{'$oid': '69087efc012e93c9d6fdeb9c'},135760601,0,,,B,Operators,1759914584881,10,Energy,1704834530000,135760601,False,Project D,1762164474707,Train 1,1,,,U.S.A.,0,,0,0,0,2,2024
{'$oid': '69087efc012e93c9d6fdeb9d'},135761076,0,Fall From Same Level (of Personnel),,B,Ironworkers-Rebar,1759914584881,10,Energy,1704878990000,135761076,False,Project D,1762164474707,OSBL East,1,,,U.S.A.,0,,0,0,0,2,2024
{'$oid': '69087efc012e93c9d6fdeb9e'},135761099,0,Unknown,,B,,1759914584881,10,Energy,1704872630000,135761099,False,Project D,1762164474707,Laydowns,1,Environmental,,U.S.A.,0,,0,0,0,2,2024
{'$oid': '69087efc012e93c9d6fdeb9f'},135761034,0,Caught In/ Between,,B,Ironworkers-Structural,1759914584881,10,Energy,1704861877000,135761034,False,Project D,1762164474707,Train 1,1,,,U.S.A.,0,,0,0,0,2,2024
{'$oid': '69087efc012e93c9d6fdeba0'},135761137,0,Fall From Elevation (of Personnel),,B,Ironworkers-Rebar,1759914584881,10,Energy,1704886729000,135761137,False,Project D,1762164474707,OSBL East,1,Injury/Illness,,U.S.A.,0,,0,0,0,2,2024
{'$oid': '69087efc012e93c9d6fdeba1'},135761083,0,Other,,B,,1759914584881,10,Energy,1704866329000,135761083,False,Project D,1762164474707,OSBL West,1,Environmental,,U.S.A.,0,,0,0,0,2,2024
{'$oid': '69087efc012e93c9d6fdeba2'},135761874,0,"Struck By/ Against (includes foreign bodies to eye,cutting)",,B,Painters,1759914584881,12,Energy,1705028953000,135761874,False,Project D,1762164474707,Train 4,1,Injury/Illness,,U.S.A.,0,,0,0,0,2,2024
{'$oid': '69087efc012e93c9d6fdeba3'},135761549,0,Dropped Object(s),,B,Operators,1759914584881,11,Energy,1704947965000,135761549,False,Project D,1762164474707,Laydowns,1,Property Damage,,U.S.A.,0,,0,0,0,2,2024
{'$oid': '69087efc012e93c9d6fdeba4'},135761619,0,"Struck By/ Against (includes foreign bodies to eye,cutting)",,B,Operators,1759914584881,11,Energy,1704971370000,135761619,False,Project D,1762164474707,Laydowns,1,,,U.S.A.,0,,0,0,0,2,2024
{'$oid': '69087efc012e93c9d6fdeba5'},135761903,0,"Struck By/ Against (includes foreign bodies to eye,cutting)",,N,Driller,1759914584881,12,Energy,1705029575000,135761903,False,Project D,1762164474707,Train 6,1,Injury/Illness,,U.S.A.,0,,0,0,0,2,2024
{'$oid': '69087efc012e93c9d6fdeba6'},135761914,0,"Struck By/ Against (includes foreign bodies to eye,cutting)",,B,Operators,1759914584881,12,Energy,1705027164000,135761914,False,Project D,1762164474707,Warehouse,1,Property Damage,,U.S.A.,0,,0,0,0,2,2024
{'$oid': '69087efc012e93c9d6fdeba7'},135762053,0,"Struck By/ Against (includes foreign bodies to eye,cutting)",,B,Warehouse,1759914584881,12,Energy,1705043946000,135762053,False,Project D,1762164474707,Laydowns,1,,,U.S.A.,0,,0,0,0,2,2024
{'$oid': '69087efc012e93c9d6fdeba8'},135762123,0,Repetitive Motion/Body Position/Ergonomic Hazards,Safe,B,Carpenter,1759914584881,12,Energy,1705054453000,135762123,False,Project D,1762164474707,OSBL West,1,,,U.S.A.,0,Behavior,0,0,0,2,2024
{'$oid': '69087efc012e93c9d6fdeba9'},135762251,0,"Struck By/ Against (includes foreign bodies to eye,cutting)",At-Risk,B,Carpenter,1759914584881,13,Energy,1705118972000,135762251,True,Project D,1762164474707,Train 2,1,Injury/Illness,Dropped Objects,U.S.A.,3,Unsafe Condition,0,3,0,2,2024
{'$oid': '69087efc012e93c9d6fdebaa'},135762247,0,Other,Safe,B,Operators,1759914584881,13,Energy,1705126160000,135762247,True,Project D,1762164474707,200' Strip,1,,MEPI (Mobile Equipment & Personnel Interface),U.S.A.,2,Unsafe Condition,0,2,0,2,2024
{'$oid': '69087efc012e93c9d6fdebab'},135761141,0,Fall From Same Level (of Personnel),At-Risk,B,Ironworkers-Rebar,1759914584881,10,Energy,1704888530000,135761141,False,Project D,1762164474707,OSBL West,1,Injury/Illness,,U.S.A.,1,Unsafe Condition,0,1,0,2,2024
{'$oid': '69087efc012e93c9d6fdebac'},135762305,0,Dropped Object(s),At-Risk,B,Ironworkers-Structural,1759914584881,13,Energy,1705134230000,135762305,True,Project D,1762164474707,Train 2,1,Injury/Illness,Dropped Objects,U.S.A.,4,Unsafe Condition,0,4,0,2,2024
{'$oid': '69087efc012e93c9d6fdebad'},135763033,0,Other,Safe,B,Operators,1759914584881,15,Energy,1705303790000,135763033,True,Project D,1762164474707,Laydowns,1,,MEPI (Mobile Equipment & Personnel Interface),U.S.A.,2,Unsafe Condition,0,2,0,3,2024
{'$oid': '69087efd012e93c9d6fdebae'},135763397,0,,Safe,N,,1759914584881,15,Energy,1705306130000,135763397,False,Project D,1762164474707,Office Trailers,1,,,U.S.A.,1,Unsafe Condition,0,1,0,3,2024
{'$oid': '69087efd012e93c9d6fdebaf'},135763636,0,Other,Safe,B,Operators,1759914584881,17,Energy,1705435730000,135763636,True,Project D,1762164474707,OSBL South,1,,MEPI (Mobile Equipment & Personnel Interface),U.S.A.,2,Unsafe Condition,0,2,0,3,2024
{'$oid': '69087efd012e93c9d6fdebb0'},135763789,0,,Safe,B,,1759914584881,16,Energy,1705402669000,135763789,False,Project D,1762164474707,Zone 2B,1,,,U.S.A.,1,Unsafe Condition,0,1,0,3,2024
